Grid Pos (microns),Total n (cm-3),Total p (cm-3)
0.0000e+00,1.2957e-07,5.0000e+19
1.5000e-03,3.0846e+08,5.0000e+19
3.0000e-03,6.1691e+08,5.0000e+19
4.5000e-03,9.2537e+08,5.0000e+19
6.0000e-03,1.2338e+09,5.0000e+19
7.5000e-03,1.5423e+09,5.0000e+19
9.0000e-03,1.8507e+09,5.0000e+19
1.0500e-02,2.1592e+09,5.0000e+19
1.2000e-02,2.4677e+09,5.0000e+19
1.3500e-02,2.7761e+09,5.0000e+19
1.5000e-02,3.0846e+09,5.0000e+19
1.6500e-02,3.3931e+09,5.0000e+19
1.8000e-02,3.7015e+09,5.0000e+19
1.9500e-02,4.0100e+09,5.0000e+19
2.1000e-02,4.3185e+09,5.0000e+19
2.2500e-02,4.6270e+09,5.0000e+19
2.4000e-02,4.9355e+09,5.0000e+19
2.5500e-02,5.2440e+09,5.0000e+19
2.7000e-02,5.5524e+09,5.0000e+19
2.8500e-02,5.8609e+09,5.0000e+19
3.0000e-02,6.1695e+09,5.0000e+19
3.1500e-02,6.4780e+09,5.0000e+19
3.3000e-02,6.7865e+09,5.0000e+19
3.4500e-02,7.0950e+09,5.0000e+19
3.6000e-02,7.4035e+09,5.0000e+19
3.7500e-02,7.7120e+09,5.0000e+19
3.9000e-02,8.0206e+09,5.0000e+19
4.0500e-02,8.3291e+09,5.0000e+19
4.2000e-02,8.6377e+09,5.0000e+19
4.3500e-02,8.9462e+09,5.0000e+19
4.5000e-02,9.2548e+09,5.0000e+19
4.6500e-02,9.5634e+09,5.0000e+19
4.8000e-02,9.8720e+09,5.0000e+19
4.9500e-02,1.0181e+10,5.0000e+19
5.1000e-02,1.0489e+10,5.0000e+19
5.2500e-02,1.0798e+10,5.0000e+19
5.4000e-02,1.1106e+10,5.0000e+19
5.5500e-02,1.1415e+10,5.0000e+19
5.7000e-02,1.1724e+10,5.0000e+19
5.8500e-02,1.2032e+10,5.0000e+19
6.0000e-02,1.2341e+10,5.0000e+19
6.1500e-02,1.2650e+10,5.0000e+19
6.3000e-02,1.2958e+10,5.0000e+19
6.4500e-02,1.3267e+10,5.0000e+19
6.6000e-02,1.3576e+10,5.0000e+19
6.7500e-02,1.3884e+10,5.0000e+19
6.9000e-02,1.4193e+10,5.0000e+19
7.0500e-02,1.4502e+10,5.0000e+19
7.2000e-02,1.4811e+10,5.0000e+19
7.3500e-02,1.5119e+10,5.0000e+19
7.5000e-02,1.5428e+10,5.0000e+19
7.6500e-02,1.5737e+10,5.0000e+19
7.8000e-02,1.6046e+10,5.0000e+19
7.9500e-02,1.6355e+10,5.0000e+19
8.1000e-02,1.6663e+10,5.0000e+19
8.2500e-02,1.6972e+10,5.0000e+19
8.4000e-02,1.7281e+10,5.0000e+19
8.5500e-02,1.7590e+10,5.0000e+19
8.7000e-02,1.7899e+10,5.0000e+19
8.8500e-02,1.8208e+10,5.0000e+19
9.0000e-02,1.8517e+10,5.0000e+19
9.1500e-02,1.8826e+10,5.0000e+19
9.3000e-02,1.9134e+10,5.0000e+19
9.4500e-02,1.9443e+10,5.0000e+19
9.6000e-02,1.9752e+10,5.0000e+19
9.7500e-02,2.0061e+10,5.0000e+19
9.9000e-02,2.0370e+10,5.0000e+19
1.0050e-01,2.0679e+10,5.0000e+19
1.0200e-01,2.0989e+10,5.0000e+19
1.0350e-01,2.1298e+10,5.0000e+19
1.0500e-01,2.1607e+10,5.0000e+19
1.0650e-01,2.1916e+10,5.0000e+19
1.0800e-01,2.2225e+10,5.0000e+19
1.0950e-01,2.2534e+10,5.0000e+19
1.1100e-01,2.2843e+10,5.0000e+19
1.1250e-01,2.3152e+10,5.0000e+19
1.1400e-01,2.3462e+10,5.0000e+19
1.1550e-01,2.3771e+10,5.0000e+19
1.1700e-01,2.4080e+10,5.0000e+19
1.1850e-01,2.4389e+10,5.0000e+19
1.2000e-01,2.4699e+10,5.0000e+19
1.2150e-01,2.5008e+10,5.0000e+19
1.2300e-01,2.5317e+10,5.0000e+19
1.2450e-01,2.5627e+10,5.0000e+19
1.2600e-01,2.5936e+10,5.0000e+19
1.2750e-01,2.6245e+10,5.0000e+19
1.2900e-01,2.6555e+10,5.0000e+19
1.3050e-01,2.6864e+10,5.0000e+19
1.3200e-01,2.7174e+10,5.0000e+19
1.3350e-01,2.7483e+10,5.0000e+19
1.3500e-01,2.7793e+10,5.0000e+19
1.3650e-01,2.8102e+10,5.0000e+19
1.3800e-01,2.8412e+10,5.0000e+19
1.3950e-01,2.8721e+10,5.0000e+19
1.4100e-01,2.9031e+10,5.0000e+19
1.4250e-01,2.9341e+10,5.0000e+19
1.4400e-01,2.9650e+10,5.0000e+19
1.4550e-01,2.9960e+10,5.0000e+19
1.4700e-01,3.0270e+10,5.0000e+19
1.4850e-01,3.0579e+10,5.0000e+19
1.5000e-01,3.0889e+10,5.0000e+19
1.5150e-01,3.1199e+10,5.0000e+19
1.5300e-01,3.1509e+10,5.0000e+19
1.5450e-01,3.1818e+10,5.0000e+19
1.5600e-01,3.2128e+10,5.0000e+19
1.5750e-01,3.2438e+10,5.0000e+19
1.5900e-01,3.2748e+10,5.0000e+19
1.6050e-01,3.3058e+10,5.0000e+19
1.6200e-01,3.3368e+10,5.0000e+19
1.6350e-01,3.3678e+10,5.0000e+19
1.6500e-01,3.3988e+10,5.0000e+19
1.6650e-01,3.4298e+10,5.0000e+19
1.6800e-01,3.4608e+10,5.0000e+19
1.6950e-01,3.4918e+10,5.0000e+19
1.7100e-01,3.5229e+10,5.0000e+19
1.7250e-01,3.5539e+10,5.0000e+19
1.7400e-01,3.5849e+10,5.0000e+19
1.7550e-01,3.6159e+10,5.0000e+19
1.7700e-01,3.6469e+10,5.0000e+19
1.7850e-01,3.6780e+10,5.0000e+19
1.8000e-01,3.7090e+10,5.0000e+19
1.8150e-01,3.7400e+10,5.0000e+19
1.8300e-01,3.7711e+10,5.0000e+19
1.8450e-01,3.8021e+10,5.0000e+19
1.8600e-01,3.8332e+10,5.0000e+19
1.8750e-01,3.8642e+10,5.0000e+19
1.8900e-01,3.8953e+10,5.0000e+19
1.9050e-01,3.9263e+10,5.0000e+19
1.9200e-01,3.9574e+10,5.0000e+19
1.9350e-01,3.9885e+10,5.0000e+19
1.9500e-01,4.0195e+10,5.0000e+19
1.9650e-01,4.0506e+10,5.0000e+19
1.9800e-01,4.0817e+10,5.0000e+19
1.9950e-01,4.1127e+10,5.0000e+19
2.0100e-01,4.1438e+10,5.0000e+19
2.0250e-01,4.1749e+10,5.0000e+19
2.0400e-01,4.2060e+10,5.0000e+19
2.0550e-01,4.2371e+10,5.0000e+19
2.0700e-01,4.2682e+10,5.0000e+19
2.0850e-01,4.2993e+10,5.0000e+19
2.1000e-01,4.3304e+10,5.0000e+19
2.1150e-01,4.3615e+10,5.0000e+19
2.1300e-01,4.3926e+10,5.0000e+19
2.1450e-01,4.4237e+10,5.0000e+19
2.1600e-01,4.4548e+10,5.0000e+19
2.1750e-01,4.4860e+10,5.0000e+19
2.1900e-01,4.5171e+10,5.0000e+19
2.2050e-01,4.5482e+10,5.0000e+19
2.2200e-01,4.5794e+10,5.0000e+19
