Cont Pot (V) at Lt Cont,Cont J Total (A/cm2) at Lt Cont,Cont J Total (A/cm2) at Rt Cont
0.0000e+00,0.0000e+00,0.0000e+00
1.0000e-01,2.3279e-12,2.3279e-12
2.0000e-01,1.9027e-11,1.9027e-11
3.0000e-01,1.4777e-10,1.4777e-10
4.0000e-01,1.1457e-09,1.1457e-09
5.0000e-01,8.9015e-09,8.9015e-09
6.0000e-01,6.9266e-08,6.9266e-08
7.0000e-01,5.3918e-07,5.3918e-07
8.0000e-01,4.1971e-06,4.1971e-06
9.0000e-01,3.2793e-05,3.2793e-05
1.0000e+00,2.6283e-04,2.6283e-04
1.1000e+00,2.3456e-03,2.3456e-03
1.2000e+00,2.6548e-02,2.6547e-02
1.3000e+00,3.2820e-01,3.2820e-01
1.4000e+00,3.6006e+00,3.6006e+00
1.5000e+00,2.8600e+01,2.8600e+01
1.6000e+00,7.6705e+01,7.6705e+01
1.7000e+00,1.1383e+02,1.1383e+02
1.8000e+00,1.5015e+02,1.5015e+02
1.9000e+00,1.9057e+02,1.9057e+02
2.0000e+00,2.3524e+02,2.3524e+02
